# Ac matrix for the 1D p_\mu cross section
# To transform generator predictions in the 1D p_\mu bins (v) into the regularized space, compute Ac * v.
0.724912,-0.004384,0.338470,-0.102112,-0.026725,0.132623,-0.021257,-0.018538,-0.103606,0.081430,-0.197824,0.236066,-0.090587,0.020263
-0.036089,0.759365,0.312133,-0.041405,-0.066480,0.118235,0.015251,-0.049200,-0.062070,-0.022858,-0.002975,0.063322,-0.023261,-0.005090
-0.033340,0.186674,0.669820,0.157612,0.062836,-0.117033,0.071702,0.048945,-0.083769,0.012056,-0.040844,0.053084,-0.007013,-0.009597
-0.056928,-0.001995,0.197911,0.783081,0.028393,0.088984,-0.084347,-0.000225,0.014630,0.029456,-0.054899,0.045801,-0.026095,0.018783
-0.019809,-0.052354,0.152454,0.066441,0.751644,0.048733,0.137280,-0.006484,-0.153789,-0.042533,0.022452,0.077388,-0.020328,-0.019291
-0.022445,0.066360,-0.056762,0.107496,0.012633,0.829915,0.070595,0.007329,-0.073911,-0.013848,-0.014835,0.047643,-0.006640,-0.012244
-0.039469,-0.035807,0.175305,-0.097716,0.095056,0.062770,0.721559,0.029536,-0.009834,0.064315,-0.010150,0.010721,-0.012811,0.010011
-0.019986,-0.118029,0.194871,0.074748,-0.110835,0.013276,0.160991,0.823521,-0.136704,-0.027361,0.011298,0.088787,-0.019567,-0.023162
-0.031164,-0.071445,0.067124,0.290123,-0.296654,-0.027825,0.372200,0.034968,0.499496,-0.122359,0.057728,0.191907,-0.046453,-0.056635
-0.000807,-0.088096,0.059474,0.238679,-0.234175,-0.084726,0.392462,0.009487,-0.370714,0.813252,0.079180,0.146589,-0.026568,-0.069698
-0.074738,0.034456,0.034310,0.097847,-0.071022,-0.092151,0.242886,-0.019317,-0.210316,0.018603,0.844332,0.167902,-0.037208,-0.036414
0.046180,-0.075711,0.032960,0.048421,-0.022509,-0.057603,0.110073,-0.023138,-0.074896,-0.032346,0.125043,0.806263,0.086214,-0.089571
-0.005646,-0.023370,0.034564,0.037866,-0.035327,-0.030232,0.092248,-0.001905,-0.087914,-0.016664,0.022801,0.009172,0.945669,-0.029786
0.009853,-0.022108,0.000839,0.052160,-0.040224,-0.022720,0.073838,-0.000802,-0.054162,-0.031506,0.054621,-0.051885,0.107994,0.759680
