# Ac matrix for the 1D \cos\theta_\mu cross section
# To transform generator predictions in the 1D \cos\theta_\mu bins (v) into the regularized space, compute Ac * v.
0.730424,-0.039674,0.144320,-0.001539,0.009296,0.124549,-0.086369,-0.040307,0.010501,0.093232,0.031502,0.020425,-0.064979,0.006433,-0.056048,0.021792,-0.033525,0.013645,0.024070,0.011293,-0.071579,0.061212,0.027945,-0.053144,0.003559,0.012193,0.039857,0.033050,-0.043116
-0.012317,0.725235,0.091296,0.041921,0.030310,0.040063,-0.046576,0.025832,-0.009820,0.055911,-0.009494,0.042224,-0.022065,-0.050255,-0.004313,0.039077,-0.054968,0.000323,-0.012409,0.053340,-0.036241,-0.000918,0.016926,-0.000872,0.004512,0.003969,0.053468,-0.047323,0.011375
0.009852,0.028580,0.765881,0.026182,0.019221,0.014252,0.060364,-0.023220,0.032935,0.030888,-0.073140,0.052481,-0.044323,0.017400,-0.007468,0.025959,-0.027534,-0.002825,-0.025396,0.014004,-0.025613,-0.001221,0.039184,0.008502,0.039468,-0.044401,0.006410,0.018465,-0.009773
-0.021004,0.059534,0.081408,0.660304,-0.016574,0.160585,-0.010886,-0.029702,0.001937,0.089015,-0.015618,-0.029543,-0.040285,0.010328,0.037636,0.036425,-0.091908,-0.016158,-0.006623,0.048857,-0.035810,0.049643,0.015097,-0.023971,-0.030175,0.020785,0.049951,-0.039370,-0.002901
-0.008400,0.031289,0.046796,-0.011869,0.698410,0.187144,-0.062240,-0.013361,0.034225,0.038452,0.005023,0.034864,-0.067223,-0.003999,0.014138,-0.009041,-0.059260,0.038965,-0.015706,0.017571,0.018024,0.011980,-0.013932,-0.006336,0.019392,-0.028956,0.021132,-0.008544,-0.015594
0.025218,-0.029059,-0.012523,0.066738,0.177767,0.530421,0.101650,0.104498,-0.033219,-0.032821,-0.004533,0.032474,0.045575,-0.024665,-0.074295,0.000637,0.015028,-0.009328,0.028170,0.010890,-0.044929,-0.012300,0.035538,0.049456,-0.032322,-0.019292,0.022766,-0.034148,0.043700
-0.025649,-0.030732,0.100303,0.025570,-0.026159,0.196303,0.521594,0.150937,-0.051937,0.020569,0.115272,-0.039946,-0.047626,-0.000161,0.037708,-0.041054,-0.032260,0.005548,-0.007548,-0.011375,0.016073,0.012912,0.013590,-0.018974,0.001360,0.020301,0.016280,0.018752,-0.040372
-0.036724,0.034742,0.034939,0.004299,-0.014841,0.118241,0.154998,0.354527,0.217374,0.091370,-0.013507,-0.008626,-0.013614,-0.035173,0.021299,0.039251,-0.059331,-0.049564,0.018145,0.030018,-0.034305,-0.002627,0.040373,0.019045,-0.006764,-0.014157,0.013603,0.026661,-0.007430
0.018339,-0.014975,0.012145,0.005851,0.097995,-0.031242,-0.054447,0.251403,0.554498,0.055567,-0.055079,0.049251,-0.017607,0.031317,0.026922,-0.039492,-0.023666,0.007006,-0.028555,0.042521,-0.061792,0.021585,0.053764,-0.014102,0.052791,-0.017659,-0.000445,0.004673,-0.011146
0.053082,-0.001615,-0.084401,0.070687,0.111098,-0.131998,0.024136,0.216091,0.024103,0.468967,0.061142,0.035752,0.038798,0.035294,-0.089592,0.044309,0.026454,-0.038834,0.026475,-0.051608,0.045363,-0.062154,0.032160,0.067622,0.036054,-0.050370,-0.005320,-0.018004,0.069500
0.050502,0.024044,-0.097798,0.026835,0.103490,-0.108090,0.120129,0.074177,-0.057091,-0.023348,0.617799,0.207071,-0.014435,-0.078153,-0.033794,0.039477,0.026003,0.019107,-0.068123,0.091819,-0.055205,-0.025511,0.054273,0.047419,-0.024024,-0.045043,0.007832,0.020933,0.012894
0.006926,0.027054,0.009973,-0.053898,0.065687,0.045178,-0.032462,0.019470,0.019508,-0.075225,0.204678,0.575700,0.065298,-0.045315,0.028509,-0.027655,-0.004309,-0.030004,0.138639,-0.067341,0.020780,-0.013726,0.029386,-0.014768,-0.019909,0.032320,-0.045203,0.014204,0.065189
-0.014851,0.018521,0.025463,0.011800,-0.038914,0.128416,-0.081313,-0.008680,0.024732,0.057715,-0.011133,0.077925,0.576359,0.105714,-0.020012,-0.000229,-0.082348,0.093429,-0.019951,0.074788,-0.028562,-0.031564,0.024299,0.042723,-0.032109,-0.058187,0.052459,0.033421,-0.070184
0.006286,-0.055183,0.067248,0.046521,-0.003779,0.005656,-0.002951,-0.074837,0.090354,0.081017,-0.093978,0.011480,0.114309,0.505531,0.181293,-0.013311,-0.028365,-0.072198,0.048247,0.098372,-0.055395,-0.014575,0.056704,0.030168,-0.052098,-0.055459,0.073399,-0.026252,0.085875
